car,buying,maint,doors,persons,lug_boot,safety,car_acceptabillity
c1,vhigh,vhigh,2,2,small,low,unacc
c2,vhigh,vhigh,2,2,small,med,unacc
c3,vhigh,vhigh,2,2,small,high,unacc
c4,vhigh,vhigh,2,2,med,low,unacc
c5,vhigh,vhigh,2,2,med,med,unacc
c6,vhigh,vhigh,2,2,med,high,unacc
c7,vhigh,vhigh,2,2,big,low,unacc
c8,vhigh,vhigh,2,2,big,med,unacc
c9,vhigh,vhigh,2,2,big,high,unacc
c10,vhigh,vhigh,2,4,small,low,unacc
c11,vhigh,vhigh,2,4,small,med,unacc
c12,vhigh,vhigh,2,4,small,high,unacc
c13,vhigh,vhigh,2,4,med,low,unacc
c14,vhigh,vhigh,2,4,med,med,unacc
c15,vhigh,vhigh,2,4,med,high,unacc
c16,vhigh,vhigh,2,4,big,low,unacc
c17,vhigh,vhigh,2,4,big,med,unacc
c18,vhigh,vhigh,2,4,big,high,unacc
c19,vhigh,vhigh,2,more,small,low,unacc
c20,vhigh,vhigh,2,more,small,med,unacc
c21,vhigh,vhigh,2,more,small,high,unacc
c22,vhigh,vhigh,2,more,med,low,unacc
c23,vhigh,vhigh,2,more,med,med,unacc
c24,vhigh,vhigh,2,more,med,high,unacc
c25,vhigh,vhigh,2,more,big,low,unacc
c26,vhigh,vhigh,2,more,big,med,unacc
c27,vhigh,vhigh,2,more,big,high,unacc
c28,vhigh,vhigh,3,2,small,low,unacc
c29,vhigh,vhigh,3,2,small,med,unacc
c30,vhigh,vhigh,3,2,small,high,unacc
c31,vhigh,vhigh,3,2,med,low,unacc
c32,vhigh,vhigh,3,2,med,med,unacc
c33,vhigh,vhigh,3,2,med,high,unacc
c34,vhigh,vhigh,3,2,big,low,unacc
c35,vhigh,vhigh,3,2,big,med,unacc
c36,vhigh,vhigh,3,2,big,high,unacc
c37,vhigh,vhigh,3,4,small,low,unacc
c38,vhigh,vhigh,3,4,small,med,unacc
c39,vhigh,vhigh,3,4,small,high,unacc
c40,vhigh,vhigh,3,4,med,low,unacc
c41,vhigh,vhigh,3,4,med,med,unacc
c42,vhigh,vhigh,3,4,med,high,unacc
c43,vhigh,vhigh,3,4,big,low,unacc
c44,vhigh,vhigh,3,4,big,med,unacc
c45,vhigh,vhigh,3,4,big,high,unacc
