object,X2,X8,X3,X5,X1,X8.1,X13,X0,X6,X6.1,X10,X8.2,X0.1,X8.3,X0.2,X8.4,19
L1,5,12,3,7,2,10,5,5,4,13,3,9,2,8,4,10,8
L2,4,11,6,8,6,10,6,2,6,10,3,7,3,7,3,9,3
L3,7,11,6,6,3,5,9,4,6,4,4,10,6,10,2,8,13
L4,2,1,3,1,1,8,6,6,6,6,5,9,1,7,5,10,6
L5,4,11,5,8,3,8,8,6,9,5,6,6,0,8,9,7,18
L6,4,2,5,4,4,8,7,6,6,7,6,6,2,8,7,10,1
L7,1,1,3,2,1,8,2,2,2,8,2,8,1,6,2,7,0
L8,2,2,4,4,2,10,6,2,6,12,4,8,1,6,1,7,9
L9,11,15,13,9,7,13,2,6,2,12,1,9,8,1,1,8,12
L10,3,9,5,7,4,8,7,3,8,5,6,8,2,8,6,7,23
L11,6,13,4,7,4,6,7,6,3,10,7,9,5,9,5,8,14
L12,4,9,6,7,6,7,8,6,2,6,5,11,4,8,7,8,6
L13,6,9,8,6,9,7,8,6,5,7,5,8,8,9,8,6,12
L14,5,9,5,7,6,6,11,7,3,7,3,9,2,7,5,11,17
L15,6,9,5,4,3,10,6,3,5,10,5,7,3,9,6,9,5
L16,3,4,4,3,2,8,7,7,5,7,6,8,2,8,3,8,14
L17,7,10,5,5,2,6,8,6,8,11,7,11,2,8,5,9,2
L18,6,11,6,8,5,6,11,5,6,11,9,4,3,12,2,4,19
L19,2,2,3,3,1,10,6,3,6,12,4,9,0,7,1,7,9
L20,1,3,2,2,1,8,8,2,5,14,5,8,0,7,0,7,9
L21,4,5,5,4,4,7,7,6,6,7,6,8,3,8,3,8,7
L22,3,2,3,3,2,8,8,7,5,7,5,7,2,8,9,8,18
L23,6,11,7,8,5,7,6,9,6,7,5,9,4,8,5,5,14
L24,3,6,4,4,2,6,6,4,4,14,8,12,1,6,1,6,9
L25,6,11,7,8,3,7,8,7,11,4,7,14,1,7,4,8,2
L26,7,11,11,8,9,3,8,4,5,10,11,10,10,9,5,7,12
L27,12,14,12,8,5,9,10,4,3,5,10,7,10,12,2,6,22
L28,6,9,8,7,6,8,6,6,7,7,7,9,6,8,4,8,7
L29,3,6,4,4,2,6,6,5,5,6,6,9,2,8,4,8,6
L30,2,3,3,4,1,0,1,5,6,0,0,6,0,8,0,8,11
L31,1,3,3,1,1,6,4,1,7,8,3,10,0,7,2,9,11
L32,8,12,8,6,4,3,10,4,7,12,11,9,3,7,3,4,23
L33,5,9,7,7,10,9,8,4,4,6,8,6,6,11,8,7,1
L34,6,9,9,7,6,5,6,3,5,10,9,9,8,5,2,7,12
L35,4,7,6,5,3,6,6,6,8,6,5,9,3,10,4,8,6
L36,4,7,5,5,3,7,7,8,6,7,6,8,3,8,3,8,14
