nursery,parents,has_nurs,form,children,housing,finance,social,health,class
n1,usual,proper,complete,1,convenient,convenient,nonprob,recommended,recommend
n2,usual,proper,complete,1,convenient,convenient,nonprob,priority,priority
n3,usual,proper,complete,1,convenient,convenient,nonprob,not_recom,not_recom
n4,usual,proper,complete,1,convenient,convenient,slightly_prob,recommended,recommend
n5,usual,proper,complete,1,convenient,convenient,slightly_prob,priority,priority
n6,usual,proper,complete,1,convenient,convenient,slightly_prob,not_recom,not_recom
n7,usual,proper,complete,1,convenient,convenient,problematic,recommended,priority
n8,usual,proper,complete,1,convenient,convenient,problematic,priority,priority
n9,usual,proper,complete,1,convenient,convenient,problematic,not_recom,not_recom
n10,usual,proper,complete,1,convenient,inconv,nonprob,recommended,very_recom
n11,usual,proper,complete,1,convenient,inconv,nonprob,priority,priority
n12,usual,proper,complete,1,convenient,inconv,nonprob,not_recom,not_recom
n13,usual,proper,complete,1,convenient,inconv,slightly_prob,recommended,very_recom
n14,usual,proper,complete,1,convenient,inconv,slightly_prob,priority,priority
n15,usual,proper,complete,1,convenient,inconv,slightly_prob,not_recom,not_recom
n16,usual,proper,complete,1,convenient,inconv,problematic,recommended,priority
n17,usual,proper,complete,1,convenient,inconv,problematic,priority,priority
n18,usual,proper,complete,1,convenient,inconv,problematic,not_recom,not_recom
n19,usual,proper,complete,1,less_conv,convenient,nonprob,recommended,very_recom
n20,usual,proper,complete,1,less_conv,convenient,nonprob,priority,priority
n21,usual,proper,complete,1,less_conv,convenient,nonprob,not_recom,not_recom
n22,usual,proper,complete,1,less_conv,convenient,slightly_prob,recommended,very_recom
n23,usual,proper,complete,1,less_conv,convenient,slightly_prob,priority,priority
n24,usual,proper,complete,1,less_conv,convenient,slightly_prob,not_recom,not_recom
n25,usual,proper,complete,1,less_conv,convenient,problematic,recommended,priority
n26,usual,proper,complete,1,less_conv,convenient,problematic,priority,priority
n27,usual,proper,complete,1,less_conv,convenient,problematic,not_recom,not_recom
n28,usual,proper,complete,1,less_conv,inconv,nonprob,recommended,very_recom
n29,usual,proper,complete,1,less_conv,inconv,nonprob,priority,priority
n30,usual,proper,complete,1,less_conv,inconv,nonprob,not_recom,not_recom
n31,usual,proper,complete,1,less_conv,inconv,slightly_prob,recommended,very_recom
n32,usual,proper,complete,1,less_conv,inconv,slightly_prob,priority,priority
n33,usual,proper,complete,1,less_conv,inconv,slightly_prob,not_recom,not_recom
n34,usual,proper,complete,1,less_conv,inconv,problematic,recommended,priority
n35,usual,proper,complete,1,less_conv,inconv,problematic,priority,priority
n36,usual,proper,complete,1,less_conv,inconv,problematic,not_recom,not_recom
n37,usual,proper,complete,1,critical,convenient,nonprob,recommended,very_recom
n38,usual,proper,complete,1,critical,convenient,nonprob,priority,priority
n39,usual,proper,complete,1,critical,convenient,nonprob,not_recom,not_recom
