shuttle,A1,A2,A3,A4,A5,A6,A7,A8,A9,class
SH1,50,21,77,0,28,0,27,48,22,2
SH2,55,0,92,0,0,26,36,92,56,4
SH3,53,0,82,0,52,-5,29,30,2,1
SH4,37,0,76,0,28,18,40,48,8,1
SH5,37,0,79,0,34,-26,43,46,2,1
SH6,85,0,88,-4,6,1,3,83,80,5
SH7,56,0,81,0,-4,11,25,86,62,4
SH8,55,-1,95,-3,54,-4,40,41,2,1
SH9,53,8,77,0,28,0,23,48,24,4
SH10,37,0,101,-7,28,0,64,73,8,1
SH11,37,0,78,-2,12,0,42,65,24,1
SH12,45,0,84,0,46,20,38,37,0,1
SH13,38,2,77,0,38,7,39,38,0,1
SH14,37,0,78,0,-2,5,41,81,40,1
SH15,41,0,100,0,38,-8,59,61,2,1
SH16,41,0,89,1,38,-16,48,50,2,1
SH17,47,0,85,-2,46,-4,38,39,0,1
SH18,49,0,79,0,46,-5,30,32,2,1
SH19,49,3,82,0,50,4,33,33,0,1
SH20,37,-318,105,-2,36,-4,68,69,0,1
SH21,44,3,77,0,44,2,33,33,0,1
SH22,106,2,108,0,70,0,1,38,36,5
SH23,37,-5,76,0,28,0,40,48,8,1
SH24,49,0,100,0,50,19,52,51,0,1
SH25,45,-1,87,-2,44,-4,43,43,0,1
SH26,37,4,80,0,-2,0,43,83,40,1
SH27,55,-1,98,0,52,8,42,46,4,4
SH28,55,0,86,8,54,0,31,32,0,1
SH29,55,3,88,3,54,0,32,33,2,1
SH30,37,0,74,0,26,-1,38,48,10,1
SH31,37,0,106,0,36,3,68,69,2,1
SH32,49,0,107,0,46,-16,58,60,2,1
SH33,79,5,83,0,-46,0,4,130,126,5
SH34,51,0,79,0,52,29,28,27,0,1
SH35,59,4,84,0,60,24,25,24,0,1
SH36,37,0,108,0,30,-21,71,77,6,1
SH37,56,3,97,0,46,9,41,51,10,4
SH38,39,5,77,0,38,0,37,38,0,1
SH39,51,-5,81,0,52,0,30,30,0,1
SH40,49,0,77,0,46,-9,29,31,2,1
SH41,46,2,77,0,44,-19,32,34,2,1
SH42,56,0,81,0,56,0,24,24,0,1
SH43,56,0,79,0,16,3,23,63,40,4
SH44,37,0,105,0,34,4,68,71,4,1
SH45,76,0,81,-2,-40,13,5,122,118,5
SH46,56,0,80,0,56,7,24,23,0,1
SH47,41,2,76,0,42,11,35,35,0,1
SH48,41,1,85,0,38,0,44,46,2,1
SH49,56,-4,97,0,52,-2,41,45,4,4
SH50,49,0,95,1,50,2,46,46,0,1
SH51,37,2,76,0,36,0,38,39,2,1
SH52,56,1,99,0,50,16,42,49,8,4
SH53,56,-4,88,0,56,0,31,31,0,1
SH54,37,-3,81,-2,38,-9,43,42,0,1
SH55,47,0,84,4,46,0,38,38,0,1
SH56,41,1,86,2,42,14,45,45,0,1
SH57,53,3,81,0,54,0,27,26,0,1
SH58,47,5,79,0,46,0,32,32,0,1
SH59,104,7,105,7,70,0,1,35,34,5
SH60,101,-3,102,-4,72,0,1,29,28,5
SH61,45,0,86,0,44,-17,41,42,2,1
SH62,42,4,77,0,42,1,35,35,0,1
SH63,45,0,79,0,44,-4,34,35,2,1
SH64,37,0,80,0,36,15,43,44,2,1
SH65,56,0,96,-1,44,0,40,52,12,4
SH66,56,0,81,0,-10,-3,25,92,66,4
SH67,42,0,83,2,42,0,41,42,2,1
SH68,51,1,88,0,52,7,37,37,0,1
SH69,49,3,82,0,46,-8,33,35,2,1
SH70,41,1,86,3,42,6,45,45,0,1
SH71,37,0,77,0,336,4910,41,-258,-298,1
SH72,49,0,84,0,46,-4,36,38,2,1
SH73,37,-1,77,-3,34,-6,40,43,2,1
SH74,41,0,79,0,38,-23,38,41,2,1
SH75,51,0,79,0,52,2,27,27,0,1
SH76,55,-1,79,-4,20,-12,24,59,34,4
SH77,41,0,77,0,42,5,37,36,0,1
SH78,46,-3,80,0,46,0,34,34,0,1
SH79,56,0,79,0,-2,-24,24,82,58,4
SH80,44,0,82,-1,44,0,38,38,0,1
SH81,45,0,83,0,46,31,37,36,0,1
SH82,37,0,77,-1,36,4,40,41,0,1
SH83,37,0,75,-1,36,0,38,39,0,1
SH84,37,1,77,-2,34,0,40,43,2,1
SH85,51,0,79,0,50,-6,28,30,2,1
SH86,46,-4,76,-1,46,0,29,29,0,1
SH87,49,0,77,5,50,5,28,28,0,1
SH88,45,0,108,0,44,-3,62,64,2,1
SH89,42,0,79,-2,42,0,36,37,2,1
SH90,37,0,78,0,20,-10,41,57,16,1
SH91,37,0,76,-3,36,-10,39,40,2,1
SH92,53,5,84,0,52,-5,31,32,2,1
SH93,38,4,76,0,38,4,38,37,0,1
SH94,40,0,80,0,38,-2,40,41,2,1
SH95,47,2,95,3,46,0,48,49,0,1
SH96,45,0,79,5,44,0,34,35,2,1
SH97,41,-1,86,0,42,0,45,45,0,1
SH98,55,0,95,0,36,13,40,59,20,4
SH99,56,0,95,0,56,15,40,39,0,1
SH100,51,-3,83,0,50,-14,32,33,2,1
SH101,37,0,75,0,34,10,38,41,2,1
SH102,37,0,75,0,28,16,38,46,8,1
SH103,81,-2,84,0,-18,-30,4,103,98,5
SH104,43,0,95,-4,42,-4,52,54,2,1
SH105,41,0,84,2,42,25,43,43,0,1
SH106,49,0,87,-7,46,-25,38,41,2,1
SH107,49,0,83,0,46,-14,34,37,2,1
SH108,37,-3,77,0,20,0,40,56,16,1
SH109,81,0,84,0,-12,29,4,97,94,5
SH110,55,1,84,0,54,-1,29,30,2,1
SH111,55,0,96,0,46,23,41,50,8,4
SH112,42,0,81,-2,42,-4,39,39,0,1
SH113,79,0,83,0,-40,3,4,125,120,5
SH114,59,-5,84,0,60,6,25,24,0,1
SH115,56,-3,87,0,56,0,31,30,0,1
SH116,55,0,82,1,-10,0,26,92,66,4
SH117,56,0,92,0,-2,-4,36,95,58,4
SH118,46,0,80,0,46,0,34,34,0,1
SH119,56,0,78,0,8,-19,22,70,48,4
SH120,37,0,83,0,34,7,47,50,2,1
SH121,37,0,77,0,2,17,40,74,34,1
SH122,53,-1,87,-5,52,-10,34,35,2,1
SH123,37,-1,79,-4,36,-6,42,43,2,1
SH124,44,-1,82,-4,44,0,38,38,0,1
SH125,48,-3,95,0,46,-4,47,49,2,1
SH126,42,5,79,5,42,0,37,38,0,1
SH127,37,0,106,-1,34,0,68,72,4,1
SH128,37,0,81,5,36,-3,43,44,2,1
SH129,44,-4,82,-3,44,0,38,38,0,1
SH130,45,0,83,0,46,19,38,37,0,1
SH131,55,2,83,-2,54,0,28,29,0,1
SH132,55,0,77,0,-14,-4,21,92,70,4
SH133,41,3,78,0,38,-1,37,39,2,1
