id,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,class
1,0,1,0,1,1,1,0,0,0,1,2,1,1,1,0,1,0
2,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,2,0
3,2,1,1,2,1,1,0,0,0,0,1,0,1,1,0,0,1
4,0,1,1,0,2,1,0,0,0,0,1,0,1,0,0,1,1
5,1,1,1,0,1,1,0,0,0,0,1,2,1,1,1,1,1
6,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1
7,0,1,0,1,1,1,0,0,0,0,0,0,2,1,1,1,1
8,0,1,0,1,1,1,0,0,0,0,0,0,1,1,2,1,0
9,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0
10,1,1,1,0,0,0,1,1,1,0,0,0,0,0,2,2,1
11,0,1,0,1,1,0,0,0,0,0,2,2,1,1,0,0,0
12,0,1,0,1,1,1,0,0,0,0,1,2,1,1,2,2,0
13,0,1,1,0,0,0,1,1,1,0,0,0,1,0,2,2,1
14,1,1,1,0,0,1,1,1,2,1,1,2,0,0,1,2,1
15,0,1,0,1,1,1,0,0,0,0,0,1,2,2,0,2,0
16,0,1,0,1,1,1,0,0,0,1,0,1,1,2,0,2,0
17,1,0,1,0,0,1,0,1,2,1,1,1,2,0,0,1,1
18,1,2,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1
19,0,1,0,1,1,1,0,0,0,0,0,2,1,1,0,0,0
20,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1
21,1,1,1,0,0,2,1,1,0,0,1,0,0,0,1,1,1
22,1,1,1,0,0,0,1,1,1,0,0,0,2,2,1,1,1
23,1,2,1,0,0,0,1,1,1,0,0,2,0,0,1,1,1
24,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1
25,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,2,1
26,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
27,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1
28,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1
29,1,0,0,1,1,0,1,1,1,0,0,1,1,1,0,1,0
30,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1
31,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0
32,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,2,1
33,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1
34,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0
35,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1
36,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0
37,1,2,0,1,1,1,0,0,0,1,0,1,2,1,0,1,0
38,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0
39,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0
40,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,1
41,1,1,1,0,0,0,1,1,1,0,2,0,0,0,0,2,1
42,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,2,1
43,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1
44,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1
45,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,2,1
46,1,1,1,0,0,0,1,1,2,0,1,0,0,0,1,2,1
47,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1
48,1,0,1,0,0,0,1,1,2,0,0,0,0,0,0,2,1
49,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1
50,0,2,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0
51,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1
52,0,1,0,1,1,1,0,2,0,0,0,1,1,1,0,1,0
53,1,1,1,0,0,0,1,1,1,0,0,0,0,0,2,2,1
54,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0
55,1,1,1,0,0,1,2,1,0,0,1,1,0,1,0,2,1
56,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0
57,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0
58,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0
59,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0
60,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,2,0
61,1,1,1,0,0,2,1,1,1,1,0,0,0,0,1,2,1
62,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0
63,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,2,1
64,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1
65,1,1,1,0,0,0,1,1,1,0,1,2,0,0,0,1,1
66,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0
67,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0
68,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0
69,1,2,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1
70,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1
71,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,2,1
72,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0
73,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,2,1
74,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,1,0
75,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1
76,0,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0,1
77,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,2,1
78,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1
79,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1,1
80,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0
81,1,0,1,0,0,1,1,1,1,1,0,1,0,1,0,2,1
82,1,0,1,0,0,0,1,1,2,1,1,1,0,1,0,1,1
83,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0
84,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0
85,0,2,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0
86,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1
87,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0
88,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0
89,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1
90,0,0,0,1,1,1,0,0,0,1,0,2,1,1,0,2,0
91,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
92,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1
93,1,1,1,0,0,0,1,1,0,1,1,0,0,2,1,1,1
94,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,1
95,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
96,1,0,1,0,1,1,0,2,2,0,1,2,2,2,1,1,1
97,0,0,2,0,1,1,0,0,0,0,1,1,1,1,0,1,1
98,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,1
99,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1
100,0,0,0,1,1,1,0,0,0,1,2,1,1,1,0,0,0
101,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1
102,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,1
103,1,0,1,0,1,1,1,0,2,0,1,0,1,1,1,2,1
104,1,0,0,0,1,1,2,0,2,0,0,0,0,1,2,0,1
105,2,2,2,2,0,1,1,1,1,1,2,0,1,1,0,2,1
106,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1
107,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0
108,0,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,0
109,1,2,1,0,0,0,1,1,1,0,0,0,0,0,1,2,1
110,1,2,1,0,0,0,1,1,1,0,0,0,0,0,1,2,1
111,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
112,0,2,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0
113,0,2,1,0,0,1,1,1,0,1,0,0,0,0,1,2,1
114,0,2,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0
115,1,2,1,0,0,0,1,1,1,0,0,0,0,0,1,2,1
116,0,2,1,0,2,2,1,1,1,1,2,2,0,0,1,1,1
117,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1
118,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0
119,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1
120,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0
121,0,2,2,1,1,1,0,0,0,1,0,1,1,1,2,1,0
122,0,2,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0
123,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0
124,1,2,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0
125,0,2,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1
126,0,2,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0
127,0,2,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0
128,0,2,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1
129,0,2,1,0,0,1,0,1,0,1,1,0,0,0,1,1,1
130,2,2,1,0,0,0,1,1,2,0,2,2,2,2,2,2,1
131,1,2,1,0,2,2,1,1,1,0,0,0,0,0,1,2,1
132,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1,1
133,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,2,0
134,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0
135,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,2,0
136,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0
137,0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0
138,0,2,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1
139,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1,1
